ticker,direction,entryDate,exitDate,entryPrice,exitPrice,slPrice,tpPrice,R,grossR,netR,feeCostR,slippageCostR,holding_days,MaxFavorableR,MaxAdverseR,regime,exitType
ADA,LONG,2021-08-27,2021-08-31,2.94,2.77,2.04,5.65,-0.2037,-0.1907,-0.2037,0.0077,0.0052,4,0.0,0.26,BULL,SIGNAL
ADA,LONG,2021-09-02,2021-09-07,2.96,2.13,2.13,5.46,-1.0141,-1.0,-1.0141,0.0084,0.0057,5,0.08,1.11,BULL,SL
ADA,LONG,2021-09-08,2021-11-26,2.47,1.57,1.57,5.18,-1.0109,-1.0,-1.0109,0.0065,0.0044,79,0.16,1.08,NEUTRAL,SL
ADA,LONG,2021-11-29,2022-01-10,1.6,1.16,1.16,2.92,-1.0144,-1.0,-1.0144,0.0086,0.0058,42,0.35,1.19,BULL,SL
ADA,LONG,2022-01-12,2022-01-24,1.3,1.01,1.01,2.19,-1.0175,-1.0,-1.0175,0.0104,0.0071,12,1.11,1.17,NEUTRAL,SL
ADA,LONG,2023-01-23,2023-02-27,0.38,0.36,0.31,0.58,-0.1805,-0.1583,-0.1805,0.0132,0.009,35,0.65,0.43,BULL,SIGNAL
ADA,LONG,2023-03-07,2023-03-13,0.33,0.34,0.28,0.48,0.2595,0.2861,0.2595,0.0158,0.0107,6,0.44,0.65,BULL,SIGNAL
ADA,LONG,2023-03-17,2023-04-25,0.35,0.39,0.29,0.54,0.6636,0.685,0.6636,0.0128,0.0087,39,1.56,0.29,BULL,SIGNAL
ADA,LONG,2023-04-27,2023-04-28,0.41,0.4,0.34,0.63,-0.0894,-0.0672,-0.0894,0.0132,0.009,1,0.01,0.15,BULL,SIGNAL
ADA,LONG,2023-05-02,2023-05-08,0.39,0.37,0.33,0.59,-0.4248,-0.4008,-0.4248,0.0143,0.0097,6,0.08,0.51,BULL,SIGNAL
ADA,LONG,2023-05-18,2023-06-07,0.37,0.33,0.33,0.5,-1.0334,-1.0,-1.0334,0.0199,0.0135,20,0.31,1.19,BULL,SL
ADA,LONG,2023-06-12,2023-07-13,0.28,0.36,0.2,0.49,1.1482,1.1636,1.1482,0.0091,0.0062,31,1.18,0.31,BULL,SIGNAL
ADA,LONG,2023-07-18,2023-08-04,0.31,0.29,0.24,0.5,-0.2345,-0.2158,-0.2345,0.0112,0.0076,17,0.37,0.25,BULL,SIGNAL
ADA,LONG,2023-08-09,2023-08-11,0.3,0.29,0.27,0.39,-0.3096,-0.2681,-0.3096,0.0248,0.0168,2,0.01,0.3,BULL,SIGNAL
ADA,LONG,2023-08-21,2023-08-28,0.26,0.27,0.23,0.37,0.0936,0.124,0.0936,0.0181,0.0123,7,0.23,0.32,NEUTRAL,SIGNAL
ADA,LONG,2023-08-30,2023-09-01,0.27,0.26,0.23,0.38,-0.2955,-0.2685,-0.2955,0.0161,0.0109,2,0.01,0.34,NEUTRAL,SIGNAL
ADA,LONG,2023-09-04,2023-09-11,0.26,0.24,0.23,0.34,-0.5191,-0.4846,-0.5191,0.0205,0.0139,7,0.11,0.63,NEUTRAL,SIGNAL
ADA,LONG,2023-10-19,2023-11-01,0.25,0.3,0.23,0.3,2.9492,3.0,2.9492,0.0302,0.0205,13,3.2,0.05,BULL,TP
ADA,LONG,2023-11-03,2023-11-10,0.33,0.39,0.28,0.48,1.0856,1.1109,1.0856,0.0151,0.0102,7,1.14,0.0,BULL,SIGNAL
ADA,LONG,2023-11-13,2023-11-22,0.36,0.38,0.28,0.6,0.2612,0.279,0.2612,0.0106,0.0072,9,0.63,0.17,BULL,SIGNAL
ADA,LONG,2023-11-27,2023-12-04,0.38,0.41,0.3,0.61,0.3479,0.3672,0.3479,0.0115,0.0078,7,0.47,0.1,BULL,SIGNAL
ADA,LONG,2023-12-05,2023-12-06,0.43,0.44,0.37,0.59,0.2747,0.3055,0.2747,0.0183,0.0124,1,0.52,0.13,BULL,SIGNAL
ADA,LONG,2023-12-07,2023-12-13,0.46,0.64,0.4,0.64,2.97,3.0,2.97,0.0179,0.0121,6,3.63,0.05,BULL,TP
ADA,LONG,2023-12-28,2023-12-29,0.62,0.61,0.46,1.09,-0.0728,-0.0571,-0.0728,0.0093,0.0063,1,0.05,0.14,BULL,SIGNAL
ADA,LONG,2024-01-02,2024-01-08,0.61,0.47,0.47,1.0,-1.018,-1.0,-1.018,0.0107,0.0073,6,0.09,1.03,BULL,SL
ADA,LONG,2024-02-02,2024-02-28,0.51,0.63,0.44,0.75,1.4732,1.4993,1.4732,0.0155,0.0105,26,1.84,0.5,BULL,SIGNAL
ADA,LONG,2024-03-01,2024-03-19,0.72,0.59,0.59,1.12,-1.0216,-1.0,-1.0216,0.0128,0.0087,18,0.67,1.05,BULL,SL
