ticker,entry_date,exit_date,holding_days,pnl_pct,pnl_dollars,R,MaxFavorableR,MaxAdverseR,regime
ADA,2020-03-19,2020-03-28,9,-0.0007296873260596893,-72.96873260596892,-0.15,0.06,-0.76,NEUTRAL
ATOM,2020-03-10,2020-03-28,18,-0.014506553530670409,-1450.6553530670408,-2.9,0.0,-4.08,NEUTRAL
BNB,2020-03-22,2020-03-28,6,0.0028274739083236477,282.7473908323648,0.57,1.08,0.0,NEUTRAL
DASH,2020-03-25,2020-03-28,3,-0.0011954638065849665,-119.54638065849664,-0.24,0.16,-0.24,BEAR
ETC,2020-03-13,2020-03-28,15,-0.00025472238064673503,-25.472238064673505,-0.05,0.32,-0.58,NEUTRAL
FET,2020-03-25,2020-03-28,3,-0.001700633351412139,-170.06333514121388,-0.34,0.09,-0.34,BEAR
FIL,2020-03-25,2020-03-28,3,-0.004988945423064996,-498.8945423064996,-1.0,1.05,-1.0,BEAR
LINK,2020-03-22,2020-03-28,6,0.0022732456433000375,227.32456433000374,0.45,0.94,0.0,NEUTRAL
LPT,2020-03-25,2020-03-28,3,-0.004351170461881067,-435.1170461881067,-0.87,0.0,-0.87,BEAR
SNX,2020-03-16,2020-03-28,12,0.01048378810808267,1048.378810808267,2.1,2.1,-0.26,NEUTRAL
STORJ,2020-03-07,2020-03-28,21,-0.04187435603726438,-4187.435603726438,-8.37,0.0,-12.0,BULL
TRX,2020-03-22,2020-03-28,6,0.003202780317707421,320.2780317707421,0.64,0.91,0.0,NEUTRAL
VET,2020-03-25,2020-03-28,3,-0.0005836085208366227,-58.36085208366227,-0.12,0.02,-0.12,BEAR
VTHO,2020-03-22,2020-03-28,6,0.010295599190312157,1029.5599190312157,2.06,2.06,0.0,NEUTRAL
ZEN,2020-03-19,2020-03-28,9,0.0034654002672586484,346.54002672586483,0.69,0.69,-0.66,NEUTRAL
ATOM,2020-04-30,2020-05-03,3,0.0008158818639965358,81.58818639965358,0.16,0.96,0.0,BULL
BCH,2020-04-30,2020-05-03,3,0.0015449098244847675,154.49098244847676,0.31,1.36,0.0,BULL
DOGE,2020-04-30,2020-05-03,3,0.0031254955038547442,312.54955038547445,0.63,0.98,0.0,BULL
LINK,2020-04-30,2020-05-03,3,4.844458315290349e-05,4.844458315290349,0.01,0.57,0.0,BULL
VET,2020-04-30,2020-05-03,3,-0.0010970655181371074,-109.70655181371073,-0.22,0.74,-0.22,BULL
BTC,2020-05-03,2020-05-06,3,0.006840698823441087,684.0698823441087,1.37,1.37,0.0,BULL
LPT,2020-05-03,2020-05-06,3,0.018022132380551864,1802.2132380551864,3.6,3.6,0.0,BULL
SNX,2020-05-03,2020-05-06,3,0.013033454607071745,1303.3454607071744,2.61,2.61,-0.23,BULL
ETC,2020-04-30,2020-05-09,9,0.012258494514297497,1225.8494514297497,2.45,3.91,0.0,BULL
ETH,2020-05-06,2020-05-09,3,0.003757053459387752,375.7053459387752,0.75,0.89,0.0,BULL
BNB,2020-05-09,2020-05-12,3,-0.005162899400994942,-516.2899400994943,-1.03,0.0,-1.62,BULL
DUSK,2020-05-09,2020-05-12,3,-0.0078879618307556,-788.7961830755601,-1.58,0.0,-2.21,BULL
ZEN,2020-05-06,2020-05-12,6,-0.004613971108020214,-461.3971108020214,-0.92,0.0,-1.53,BULL
ADA,2020-05-12,2020-05-15,3,5.1280974665391375e-05,5.1280974665391375,0.01,0.25,0.0,BULL
GAS,2020-05-09,2020-05-15,6,-0.0033753277984449786,-337.53277984449784,-0.68,0.46,-0.72,BULL
RUNE,2020-05-06,2020-05-15,9,-0.0027421872834136555,-274.21872834136553,-0.55,0.48,-2.33,BULL
DUSK,2020-05-15,2020-05-18,3,0.003691332374875823,369.1332374875823,0.74,0.74,0.0,BULL
FIL,2020-04-30,2020-05-18,18,0.0045302367040183774,453.02367040183776,0.91,4.28,-3.78,BULL
STORJ,2020-05-15,2020-05-18,3,0.0011638766806427428,116.38766806427428,0.23,0.39,0.0,BULL
ZEN,2020-05-15,2020-05-18,3,0.0029023155309609344,290.2315530960934,0.58,0.58,-0.11,BULL
DASH,2020-05-12,2020-05-21,9,0.0001771593882616924,17.715938826169243,0.04,0.89,-0.1,BULL
LINK,2020-05-09,2020-05-21,12,-0.0039424133752461385,-394.24133752461387,-0.79,0.12,-1.93,BULL
LPT,2020-05-18,2020-05-21,3,0.0004257827358647774,42.57827358647774,0.09,0.23,0.0,BULL
RUNE,2020-05-18,2020-05-21,3,-0.0007649011326701965,-76.49011326701965,-0.15,0.22,-0.15,BULL
CHZ,2020-05-18,2020-05-24,6,-0.0027674303595023983,-276.74303595023986,-0.55,0.0,-0.76,BULL
COTI,2020-04-30,2020-05-24,24,-0.0015326125047485685,-153.26125047485684,-0.31,1.59,-6.14,BULL
TRX,2020-05-21,2020-05-24,3,0.0007506560443382906,75.06560443382905,0.15,0.67,0.0,BULL
DUSK,2020-05-21,2020-05-27,6,0.019635749610909227,1963.5749610909227,3.93,4.54,0.0,BULL
ZEC,2020-05-06,2020-05-27,21,0.008405796410024965,840.5796410024966,1.68,3.05,-2.0,BULL
DOGE,2020-05-27,2020-05-30,3,0.0022691194458767184,226.91194458767183,0.45,0.45,0.0,BULL
FIL,2020-05-24,2020-05-30,6,0.026414394346108268,2641.439434610827,5.28,5.28,-4.6,BULL
ZEN,2020-05-24,2020-05-30,6,0.007150203749818486,715.0203749818486,1.43,1.43,0.0,BULL
BCH,2020-05-06,2020-06-02,27,0.0013240299981065271,132.40299981065272,0.26,1.61,-1.81,BULL
BNB,2020-05-18,2020-06-02,15,0.00242058555919525,242.058555919525,0.48,1.01,-0.46,BULL
BTC,2020-05-12,2020-06-02,21,0.006507764036756091,650.7764036756091,1.3,2.37,-0.03,BULL
CHZ,2020-05-30,2020-06-02,3,0.00314996447162111,314.996447162111,0.63,0.63,-0.4,BULL
DASH,2020-05-24,2020-06-02,9,0.00460572785966163,460.57278596616294,0.92,1.22,0.0,BULL
ETC,2020-05-12,2020-06-02,21,0.009604891190900666,960.4891190900665,1.92,2.96,0.0,BULL
LTC,2020-05-09,2020-06-02,24,-0.0023197809267707045,-231.97809267707044,-0.46,0.29,-2.01,BULL
RUNE,2020-05-30,2020-06-02,3,-0.0037792873651535342,-377.9287365153534,-0.76,0.09,-0.76,BULL
SNX,2020-05-09,2020-06-02,24,-0.012107975652809144,-1210.7975652809143,-2.42,0.0,-2.97,BULL
ZEC,2020-05-30,2020-06-02,3,-0.003914768466225561,-391.4768466225561,-0.78,0.0,-0.78,BULL
LINK,2020-05-24,2020-06-05,12,0.009911104075215546,991.1104075215546,1.98,2.37,-0.0,BULL
VTHO,2020-05-27,2020-06-05,9,0.013315532030216423,1331.5532030216423,2.66,2.66,0.0,BULL
XRP,2020-06-02,2020-06-05,3,0.0010862013986765264,108.62013986765264,0.22,0.36,0.0,BULL
ATOM,2020-05-06,2020-06-08,33,0.01739017801524999,1739.0178015249992,3.48,3.48,-2.3,BULL
ETH,2020-05-12,2020-06-08,27,0.017277801223506185,1727.7801223506185,3.46,3.49,0.0,BULL
RUNE,2020-06-05,2020-06-08,3,0.028635935635016797,2863.59356350168,5.73,5.73,0.0,BULL
XLM,2020-06-05,2020-06-08,3,0.0006864680123096698,68.64680123096697,0.14,0.14,-0.15,BULL
ZEN,2020-06-05,2020-06-11,6,0.017277465606630252,1727.746560663025,3.46,3.47,0.0,BULL
COTI,2020-06-11,2020-06-14,3,0.005484572167254415,548.4572167254415,1.1,1.37,0.0,BULL
SNX,2020-06-05,2020-06-14,9,0.029052064932533053,2905.2064932533053,5.81,5.85,-0.75,BULL
STORJ,2020-06-11,2020-06-14,3,0.005072994579102373,507.29945791023727,1.01,1.01,0.0,BULL
BCH,2020-06-08,2020-06-17,9,-0.008141073594448656,-814.1073594448656,-1.63,0.23,-2.11,BULL
LTC,2020-06-14,2020-06-17,3,-9.510951303331837e-05,-9.510951303331836,-0.02,0.0,-0.08,BULL
RUNE,2020-06-11,2020-06-17,6,0.041844176654016574,4184.417665401657,8.37,8.37,0.0,BULL
XRP,2020-06-08,2020-06-17,9,-0.008285269748247873,-828.5269748247873,-1.66,0.0,-2.2,BULL
CHZ,2020-06-17,2020-06-20,3,0.0006298160796514487,62.98160796514487,0.13,1.16,0.0,BULL
ETC,2020-06-05,2020-06-20,15,-0.009711076861438349,-971.1076861438348,-1.94,0.09,-2.04,BULL
FET,2020-06-17,2020-06-20,3,-6.648288623716536e-05,-6.648288623716536,-0.01,0.01,-0.19,BULL
HBAR,2020-06-11,2020-06-20,9,0.007215104199204819,721.5104199204819,1.44,2.11,0.0,BULL
STORJ,2020-06-17,2020-06-20,3,0.006128625395694152,612.8625395694153,1.23,1.23,-0.21,BULL
BTC,2020-06-05,2020-06-23,18,-0.0004435224726159043,-44.352247261590435,-0.09,0.5,-0.95,BULL
COTI,2020-06-17,2020-06-23,6,0.008270668988127793,827.0668988127793,1.65,1.78,-0.07,BULL
DASH,2020-06-17,2020-06-23,6,0.0014085160971722634,140.85160971722632,0.28,0.28,-0.43,BULL
DUSK,2020-06-20,2020-06-23,3,-0.0012848461118236997,-128.48461118236997,-0.26,0.0,-0.83,BULL
SNX,2020-06-20,2020-06-23,3,0.007780936705273075,778.0936705273075,1.56,1.56,0.0,BULL
BNB,2020-06-23,2020-06-26,3,-0.002502084868812525,-250.2084868812525,-0.5,0.0,-0.5,BULL
ETH,2020-06-11,2020-06-26,15,-0.0008657084810497571,-86.57084810497571,-0.17,1.03,-0.39,BULL
LINK,2020-06-17,2020-06-26,9,0.00768423543277184,768.4235432771841,1.54,1.91,-0.27,BULL
ZEN,2020-06-17,2020-06-26,9,-0.0035924740400287,-359.24740400287,-0.72,0.0,-1.7,BULL
ATOM,2020-06-20,2020-06-29,9,0.0007006548702893013,70.06548702893014,0.14,0.7,-0.81,BULL
DOGE,2020-06-23,2020-06-29,6,-0.004947668001090452,-494.7668001090452,-0.99,0.0,-0.99,BULL
STORJ,2020-06-26,2020-06-29,3,-0.0017277143741108465,-172.77143741108463,-0.35,0.0,-0.7,BULL
BTC,2020-06-26,2020-07-02,6,-0.00035749894731221157,-35.749894731221154,-0.07,0.12,-0.21,BULL
GAS,2020-05-24,2020-07-02,39,0.018212225551758204,1821.2225551758204,3.64,4.74,0.0,BULL
HBAR,2020-06-29,2020-07-02,3,-0.00036017055993082907,-36.017055993082906,-0.07,0.1,-0.07,BULL
SNX,2020-06-29,2020-07-02,3,0.020638520089437833,2063.8520089437834,4.13,4.13,0.0,BULL
UNI,2020-06-29,2020-07-02,3,0.0012557856135361738,125.57856135361739,0.25,2.97,0.0,BULL
ZEC,2020-06-11,2020-07-02,21,0.0035672151872506736,356.72151872506737,0.71,2.88,0.0,BULL
ATOM,2020-07-02,2020-07-05,3,0.006358235173445728,635.8235173445728,1.27,1.27,0.0,BULL
BCH,2020-06-20,2020-07-05,15,-0.003368591338881793,-336.8591338881793,-0.67,0.57,-0.91,BULL
DASH,2020-06-29,2020-07-05,6,-0.0013705903677280892,-137.05903677280892,-0.27,0.0,-0.41,BULL
FIL,2020-06-14,2020-07-05,21,0.05398298639682519,5398.298639682519,10.8,11.93,-5.03,BULL
LINK,2020-07-02,2020-07-05,3,-0.0014180922597327244,-141.80922597327245,-0.28,0.0,-0.28,BULL
STORJ,2020-07-02,2020-07-05,3,0.0032352740189704353,323.52740189704355,0.65,1.34,0.0,BULL
TRX,2020-06-20,2020-07-05,15,0.0032561590777120887,325.61590777120887,0.65,0.67,-0.31,BULL
ZEN,2020-07-02,2020-07-05,3,-0.0008963265604591897,-89.63265604591898,-0.18,0.26,-0.18,BULL
ADA,2020-07-02,2020-07-08,6,0.0224264233968811,2242.64233968811,4.49,4.49,0.0,BULL
ETC,2020-06-23,2020-07-08,15,0.002760384350510208,276.03843505102077,0.55,0.55,-1.91,BULL
LTC,2020-06-20,2020-07-08,18,0.003058562869308116,305.85628693081156,0.61,0.61,-0.74,BULL
UNI,2020-07-05,2020-07-08,3,-0.011172655761764579,-1117.265576176458,-2.23,0.0,-2.76,BULL
VET,2020-07-05,2020-07-08,3,0.03034984406978284,3034.984406978284,6.07,6.07,0.0,BULL
XLM,2020-06-29,2020-07-08,9,0.01719096755307417,1719.0967553074172,3.44,3.44,0.0,BULL
CHZ,2020-07-08,2020-07-11,3,0.002372003104233943,237.20031042339428,0.47,0.76,0.0,BULL
COTI,2020-07-08,2020-07-11,3,0.0034107225102415666,341.0722510241567,0.68,0.68,-1.34,BULL
DASH,2020-07-08,2020-07-11,3,0.00023659215141151103,23.6592151411511,0.05,0.05,-0.19,BULL
XRP,2020-06-23,2020-07-11,18,0.005049004094694399,504.9004094694399,1.01,1.28,-1.11,BULL
ZEC,2020-07-05,2020-07-11,6,0.008545131429939979,854.5131429939979,1.71,2.37,0.0,BULL
XLM,2020-07-11,2020-07-14,3,-0.004512214031137218,-451.2214031137218,-0.9,0.27,-1.66,BULL
ATOM,2020-07-14,2020-07-17,3,0.004556961110968364,455.6961110968364,0.91,0.91,0.0,BULL
XRP,2020-07-14,2020-07-17,3,-0.0017497031545532892,-174.97031545532892,-0.35,0.0,-0.37,BULL
COTI,2020-07-17,2020-07-20,3,0.023156448199020768,2315.644819902077,4.63,4.63,0.0,BULL
DASH,2020-07-17,2020-07-20,3,-0.0006429640421079147,-64.29640421079147,-0.13,0.12,-0.13,BULL
DOGE,2020-07-02,2020-07-20,18,0.016301258466289898,1630.1258466289898,3.26,7.21,-0.23,BULL
FET,2020-07-14,2020-07-20,6,0.020394705187801218,2039.470518780122,4.08,4.08,0.0,BULL
SNX,2020-07-14,2020-07-20,6,0.026004208807122807,2600.420880712281,5.2,5.2,0.0,BULL
BCH,2020-07-17,2020-07-23,6,0.004300135279786059,430.0135279786059,0.86,0.92,-0.0,BULL
BTC,2020-07-14,2020-07-23,9,0.0030682718643440625,306.82718643440626,0.61,0.61,-0.21,BULL
ETC,2020-07-20,2020-07-23,3,0.004492186531732353,449.2186531732353,0.9,0.9,0.0,BULL
ETH,2020-07-20,2020-07-23,3,0.010044454217857135,1004.4454217857135,2.01,2.01,0.0,BULL
GAS,2020-07-08,2020-07-23,15,0.004660138669057623,466.0138669057623,0.93,1.58,-1.4,BULL
LTC,2020-07-20,2020-07-23,3,0.005818229261255629,581.822926125563,1.16,1.2,0.0,BULL
VTHO,2020-07-20,2020-07-23,3,0.022334852870184236,2233.4852870184236,4.47,4.47,-0.02,BULL
ZEN,2020-07-08,2020-07-23,15,0.021690436724949205,2169.0436724949204,4.34,4.34,0.0,BULL
CHZ,2020-07-23,2020-07-26,3,-0.0017189029382650497,-171.89029382650497,-0.34,0.0,-0.34,BULL
TRX,2020-07-17,2020-07-26,9,0.005119293831394107,511.9293831394107,1.02,1.14,0.0,BULL
COTI,2020-07-23,2020-07-29,6,-0.0011756028290498383,-117.56028290498384,-0.24,2.94,-0.24,BULL
ADA,2020-07-26,2020-08-01,6,-0.0021468494214934614,-214.68494214934614,-0.43,0.05,-0.9,BULL
DOGE,2020-07-23,2020-08-01,9,0.010669827413208585,1066.9827413208586,2.13,2.13,-0.83,BULL
ETH,2020-07-26,2020-08-01,6,0.014293931522807213,1429.3931522807213,2.86,2.86,0.0,BULL
LPT,2020-06-23,2020-08-01,39,-0.028864162965297067,-2886.416296529707,-5.77,0.0,-9.71,BULL
ZEC,2020-07-23,2020-08-01,9,0.03771689553106938,3771.6895531069385,7.54,7.54,-0.14,BULL
ZEN,2020-07-26,2020-08-01,6,-0.0035212660857178273,-352.12660857178275,-0.7,0.0,-1.9,BULL
CHZ,2020-07-29,2020-08-04,6,0.00628245808214283,628.245808214283,1.26,1.99,0.0,BULL
LINK,2020-07-14,2020-08-04,21,0.01756688963607348,1756.6889636073481,3.51,3.51,-2.43,BULL
SNX,2020-07-23,2020-08-04,12,0.03109679233425823,3109.679233425823,6.22,6.22,-3.21,BULL
XLM,2020-08-01,2020-08-04,3,0.002732790840470129,273.2790840470129,0.55,0.55,-0.85,BULL
ETH,2020-08-04,2020-08-07,3,-0.0029990326873048866,-299.90326873048866,-0.6,0.66,-0.6,BULL
BCH,2020-08-07,2020-08-10,3,-0.00024837222893679613,-24.837222893679613,-0.05,0.06,-0.17,BULL
FIL,2020-07-14,2020-08-10,27,0.015941261390676774,1594.1261390676773,3.19,3.48,-2.89,BULL
GAS,2020-07-29,2020-08-10,12,0.007439302462343365,743.9302462343366,1.49,1.49,-0.43,BULL
LINK,2020-08-07,2020-08-10,3,0.032012106413724525,3201.2106413724528,6.4,7.07,0.0,BULL
LPT,2020-08-07,2020-08-10,3,0.02191314004978872,2191.314004978872,4.38,4.38,0.0,BULL
UNI,2020-07-20,2020-08-10,21,-0.0014493031010751455,-144.93031010751454,-0.29,5.33,-3.04,BULL
ZEC,2020-08-04,2020-08-10,6,0.0058868249713428765,588.6824971342877,1.18,3.46,0.0,BULL
ZEN,2020-08-04,2020-08-10,6,0.015329574435411629,1532.957443541163,3.07,3.94,0.0,BULL
ATOM,2020-07-23,2020-08-13,21,0.045614106706678,4561.4106706678,9.12,9.12,-2.01,BULL
DOGE,2020-08-10,2020-08-13,3,0.0008733884808956763,87.33884808956762,0.17,0.17,-1.04,BULL
ETH,2020-08-10,2020-08-13,3,0.013859482414803444,1385.9482414803444,2.77,2.77,-1.39,BULL
TRX,2020-08-10,2020-08-13,3,0.010398736231301088,1039.8736231301089,2.08,2.08,-2.75,BULL
CHZ,2020-08-13,2020-08-16,3,0.007539013565023836,753.9013565023836,1.51,1.67,0.0,BULL
HBAR,2020-08-13,2020-08-16,3,0.003275499058422741,327.5499058422741,0.66,0.93,0.0,BULL
VTHO,2020-08-13,2020-08-16,3,-0.007803457430086756,-780.3457430086756,-1.56,0.0,-1.56,BULL
BCH,2020-08-13,2020-08-19,6,-0.002620668750639661,-262.0668750639661,-0.52,1.31,-0.52,BULL
BNB,2020-08-16,2020-08-19,3,-0.0036417752256468422,-364.17752256468424,-0.73,0.01,-0.73,BULL
BTC,2020-08-16,2020-08-19,3,-0.0011950957381175798,-119.50957381175799,-0.24,0.63,-0.24,BULL
DASH,2020-08-16,2020-08-19,3,-0.006034976770637754,-603.4976770637754,-1.21,0.4,-1.21,BULL
ETC,2020-08-13,2020-08-19,6,-0.002878632605515353,-287.8632605515353,-0.58,0.94,-0.58,BULL
