ticker,direction,entryDate,exitDate,entryPrice,exitPrice,R,exitType,holding_hours
SOLUSDT,LONG,2021-06-14 17:00:00,2021-06-16 11:00:00,39.651,37.915000000000006,-1.1361,SL,42
SOLUSDT,LONG,2021-06-30 14:00:00,2021-07-02 14:00:00,32.57,32.935,0.0975,TIME,48
SOLUSDT,LONG,2021-07-26 03:00:00,2021-07-26 20:00:00,29.779,28.273,-1.1179,SL,17
SOLUSDT,LONG,2021-07-27 02:00:00,2021-07-29 02:00:00,27.632,27.585,-0.1372,TIME,48
SOLUSDT,LONG,2021-07-30 14:00:00,2021-07-31 03:00:00,30.308,33.73257142857143,1.8945,TP,13
SOLUSDT,LONG,2021-08-02 01:00:00,2021-08-04 01:00:00,33.558,34.266,0.3099,TIME,48
SOLUSDT,LONG,2021-08-06 16:00:00,2021-08-07 12:00:00,39.687,38.45457142857143,-1.1919,SL,20
SOLUSDT,LONG,2021-08-12 15:00:00,2021-08-13 06:00:00,39.482,43.09771428571428,1.8698,TP,11
SOLUSDT,LONG,2021-08-15 21:00:00,2021-08-16 04:00:00,52.473,59.65528571428572,1.9129,TP,7
SOLUSDT,LONG,2021-08-16 05:00:00,2021-08-17 02:00:00,61.909,72.68957142857143,1.9315,TP,21
SOLUSDT,LONG,2021-08-25 03:00:00,2021-08-25 08:00:00,71.827,67.62414285714286,-1.1019,SL,5
SOLUSDT,LONG,2021-09-07 07:00:00,2021-09-07 14:00:00,183.57,171.83285714285714,-1.0932,SL,7
SOLUSDT,LONG,2021-09-17 08:00:00,2021-09-17 10:00:00,143.48,136.16428571428568,-1.1169,SL,2
SOLUSDT,LONG,2021-09-17 11:00:00,2021-09-18 06:00:00,137.4,152.96857142857147,1.8948,TP,19
SOLUSDT,LONG,2021-10-01 13:00:00,2021-10-02 13:00:00,151.92,165.2057142857143,1.8637,TP,24
SOLUSDT,LONG,2021-10-11 10:00:00,2021-10-11 16:00:00,151.7,146.16285714285712,-1.1633,SL,6
SOLUSDT,LONG,2021-10-12 17:00:00,2021-10-14 17:00:00,149.39,151.76,0.2006,TIME,48
SOLUSDT,LONG,2021-10-15 08:00:00,2021-10-17 08:00:00,161.6,166.31,0.63,TIME,48
SOLUSDT,LONG,2021-10-20 15:00:00,2021-10-20 16:00:00,164.0,170.36857142857144,1.693,TP,1
SOLUSDT,LONG,2021-10-20 18:00:00,2021-10-21 00:00:00,172.34,182.82285714285717,1.804,TP,6
SOLUSDT,LONG,2021-10-21 16:00:00,2021-10-22 05:00:00,182.62,205.56285714285713,1.9051,TP,13
SOLUSDT,LONG,2021-11-03 02:00:00,2021-11-03 21:00:00,226.76,246.04857142857142,1.8599,TP,19
SOLUSDT,LONG,2021-11-11 18:00:00,2021-11-12 03:00:00,237.88,230.86285714285714,-1.202,SL,9
SOLUSDT,LONG,2022-02-11 00:00:00,2022-02-11 18:00:00,106.18,100.83857142857144,-1.1185,SL,18
SOLUSDT,LONG,2022-02-11 19:00:00,2022-02-11 20:00:00,100.78,97.2657142857143,-1.1709,SL,1
